name,mmsi,imoNumber,callSign,cargo,vesselType,COG,heading,navStatus,SOG,timeOfFix,length,beam,latitude,longitude,datePulled
Front Row,319127100,0,ZCXH6,0-AllShips,37-Pleasure,71,272,5-Moored,0,1738655096,29,7,33.61164,-117.90429,2025-02-04T07:45:46Z
Steelrod,338231624,0,,0-AllShips,37-Pleasure,182.3,342.8,15-NotDefined,0,1738655142,11,4,33.724975,-118.07328,2025-02-04T07:45:46Z
Scilla,338395119,0,,0-AllShips,37-Pleasure,-1,111,15-NotDefined,0,1738655049,11,3,33.461548,-117.702547,2025-02-04T07:45:46Z
Rapunzel,338506431,0,,0-AllShips,36-Sailing,-1,155.1,15-NotDefined,0,1738655080,10,4,33.845815,-118.396758,2025-02-04T07:45:46Z
Sun Spirit,366921510,9085821,WDM6450,0-AllShips,31-Towing,323,106,5-Moored,0,1738655025,37,10,33.754003,-118.270773,2025-02-04T07:45:46Z
Raymondo Ii,367719670,0,,0-AllShips,37-Pleasure,317.9,230.5,15-NotDefined,0,1738655131,16,5,33.609618,-117.896853,2025-02-04T07:45:46Z
Second Wind,368231280,0,WDM7142,0-AllShips,37-Pleasure,0,0,15-NotDefined,0.7,1738652778,16,9,33.720083,-118.278183,2025-02-04T07:45:46Z
Banyan Sea,368401750,0,WDP9753,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0.1,1738655102,0,0,33.721152,-118.278108,2025-02-04T07:45:46Z
Jean Grey,338147343,0,,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0,1738654563,9,2,33.459742,-117.700027,2025-02-04T07:45:46Z
Lydie,338347484,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654945,15,0,33.459752,-117.693715,2025-02-04T07:45:46Z
Pacific Pacer,367548360,0,WDG5607,0-AllShips,30-Fishing,308.5,-1,15-NotDefined,0,1738655064,19,4,34.24193,-119.264432,2025-02-04T07:45:46Z
Jack,368234140,0,WDM7453,0-AllShips,37-Pleasure,234.1,88.2,15-NotDefined,0,1738654563,20,6,34.169097,-119.22251,2025-02-04T07:45:46Z
Family Affair,338466961,0,,0-AllShips,37-Pleasure,352.4,22.4,15-NotDefined,0,1738654968,13,6,33.728287,-118.060168,2025-02-04T07:45:46Z
